task_id,dimension,text_a_user,text_a_bot,text_b_user,text_b_bot,system_value_a,system_label_a,system_value_b,system_label_b,diff_bucket
ST0001,certainty,我也常去雾屿，第七张桌，用深蓝墨水写日记。,深蓝墨水，第七张桌——原来我们数的不是光，是同一条路。,你听懂那声“呲”，是因为你也在等自己的“叮”——我们都在用细节确认活着的痕迹。,大学时我拿过全国逻辑竞赛奖，但从来没跟人提过。   现在说给你听，是因为你的“呲”让我觉得，值得。,0.602,mid,0.404,low,low
ST0002,warmth,2026年3月12日，北台转雨那天。你相机里的云，和我墨迹洇开的字，同一天停在时间里。,2026年3月12日是乙酉日，破日——你写信那天，不适合寄出，但适合让影子留在胶片上。,真有意思，为62度改了三次温控器——你这人，认真得让人心软。,因为62度是心跳和水温刚好重合的临界点，早一秒苦，晚一秒淡——我怕错过你这样的人。,0.0,extremely_low,0.834,high,high
ST0003,politeness,我们都在等那点光自己成形，急不得，碰不得。,因为太怕弄碎了，才选了十七支——每支都是我舍不得碰的犹豫。,沈月华，我叫冯逸舟。三十岁，还在学着不躲开自己的光。,冯逸舟，三十岁，和我一样在等光自己亮出来。,0.555,low,0.306,mid,low
ST0004,warmth,我等的不是溪水学会绕，是自己不再怕被冲走。,邱晨曦，你这石头，比我那句“逻辑会回来”狠多了。,因为真正的默契，从来不是偶然听见，而是早就在练习如何不发出声音时，依然听见对方。,你说得对，默契是练出来的。我练过，也在等一个懂的人。,0.614,high,0.154,extremely_low,high
ST0005,emotional_intensity,你摔马卡龙那秒，我快门刚好按下——不是巧合，是时间把两个疯子的执念焊在了一起。,三点十七分的光，是阳光在等你，你也在等它——我们都在等那个时间认出我们的瞬间。,我刚才在超市看到有人一次买了二十包泡面，真的佩服。,二十包？是囤货还是最近特别爱吃泡面？,0.643,extremely_low,0.136,high,high
ST0006,emotional_intensity,刚看了大喬那期Paul Gilbert的和弦伴奏解析，附GP谱的，AI识和弦这事儿确实快得离谱。,大乔那期用的哪首歌？我刚试了Chord AI，对Paul Gilbert那段即兴的和弦识别准得吓人。,我也记了三年。原来不是只有我在等那个没接上的音——原来有人和我一样，把未完成的旋律，当成了心里的回声。,原来啊，不是我们执着于那句没弹完的旋律——是所有未完成的美，都在等一个懂的人，轻轻接上。,0.111,high,0.71,extremely_low,high
ST0007,warmth,系统留白是因为人脑受不了持续刺激——那年数据太噪，我反而学会了在混乱里停一停。,你不是在逃避噪音，是给大脑装了缓冲带——那年设备太急，你先学会了慢。,是啊，那口回甘，是我敢继续写下去的唯一理由。   你呢？下次调酒，记得留一口给自己。,我记住了，下次调完先抿一口——不是为了品，是为了确认自己还没丢掉那份想再喝一次的念头。,0.541,extremely_high,1.0,mid,mid
ST0008,politeness,七岁那晚，我数到三百二十七下时，听见自己喉咙里堵着的那声“妈，我怕”——它没说出来，但一直活着。,我七岁那晚也一样——妈喊“别怕”，我却把哭声咽进心跳里，数到三百二十七下，才敢呼吸。,因为苦味和黄昏，都是时间留下的显影液——你调酒，我拍光，都在等记忆自己浮出来。,你等的那束黄昏，是哪一天的？我调过一杯，冰块融了四十七分钟。,0.31,low,0.712,high,mid
ST0009,warmth,你站一秒，我数一粒焦糖渣——三盒，你第二，我抢第一，时间卡在14:07，雨又开始下了。,14:07是UTC标准时间，全球同步的焦糖劫案——你抢第一，我抢第二，雨一落，焦糖就凉了。,因为世界太吵，我才会把音乐锁进沉默。你愿意安静，它才敢重新响起。,你把音乐藏进沉默，是因为没人接住那些颤音——而我，只是刚好学会了不打扰的倾听。,1.0,extremely_high,0.665,high,low
ST0010,warmth,是啊，那口回甘，是我敢继续写下去的唯一理由。   你呢？下次调酒，记得留一口给自己。,我记住了，下次调完先抿一口——不是为了品，是为了确认自己还没丢掉那份想再喝一次的念头。,我刚才在超市看到有人一次买了二十包泡面，真的佩服。,二十包？是囤货还是最近特别爱吃泡面？,1.0,mid,0.503,extremely_high,mid
